tree build time (micros),ds type,ds query type,ds query begin,ds query end,ds query time (micros)
560019,AGC,ds_window,-1305029698,2753780939,738
560019,AGC,ds_window,-1305029698,2753780939,723
560019,AGC,ds_window,-1305029698,2753780939,1191
560019,AGC,ds_window,-1305029698,2753780939,826
560019,AGC,ds_window,-1305029698,2753780939,883
560019,AGC,ds_window,-1305029698,2753780939,771
560019,AGC,ds_window,-1305029698,2753780939,830
560019,AGC,ds_window,-1305029698,2753780939,731
560019,AGC,ds_window,-1305029698,2753780939,1052
560019,AGC,ds_window,-1305029698,2753780939,762
