tree build time (micros),ds type,ds query type,ds query begin,ds query end,ds query time (micros)
490796,AGC,ds_window,-1305029698,2753780939,609
490796,AGC,ds_window,-1305029698,2753780939,473
490796,AGC,ds_window,-1305029698,2753780939,676
490796,AGC,ds_window,-1305029698,2753780939,595
490796,AGC,ds_window,-1305029698,2753780939,670
490796,AGC,ds_window,-1305029698,2753780939,484
490796,AGC,ds_window,-1305029698,2753780939,614
490796,AGC,ds_window,-1305029698,2753780939,476
490796,AGC,ds_window,-1305029698,2753780939,570
490796,AGC,ds_window,-1305029698,2753780939,886
