tree build time (micros),ds type,ds query type,ds query begin,ds query end,ds query time (micros)
496102,AGC,ds_window,-1305029698,2753780939,446
496102,AGC,ds_window,-1305029698,2753780939,432
496102,AGC,ds_window,-1305029698,2753780939,437
496102,AGC,ds_window,-1305029698,2753780939,429
496102,AGC,ds_window,-1305029698,2753780939,736
496102,AGC,ds_window,-1305029698,2753780939,527
496102,AGC,ds_window,-1305029698,2753780939,722
496102,AGC,ds_window,-1305029698,2753780939,584
496102,AGC,ds_window,-1305029698,2753780939,649
496102,AGC,ds_window,-1305029698,2753780939,427
